state,name,vote_percent,winner
Iowa,Hillary Clinton,49.8,1
Iowa ,Bernie Sanders,49.6,0
New Hampshire,Hillary Clinton,37.7,0
New Hampshire,Bernie Sanders,60.1,1
Nevada,Hillary Clinton,52.6,1
Nevada,Bernie Sanders,47.3,0
South Carolina,Hillary Clinton,73.4,1
South Carolina,Bernie Sanders,26,0
Alabama,Hillary Clinton,77.8,1
Alabama,Bernie Sanders,19.2,0
Arkansas,Hillary Clinton,66.1,1
Arkansas,Bernie Sanders,30,0
Colorado,Hillary Clinton,40.3,0
Colorado,Bernie Sanders,59,1
Georgia,Hillary Clinton,71.3,1
Georgia,Bernie Sanders,28.2,0
Massachusetts,Hillary Clinton,49.7,1
Massachusetts,Bernie Sanders,48.3,0
Minnesota,Hillary Clinton,38.4,0
Minnesota,Bernie Sanders,61.6,1
Oklahoma,Hillary Clinton,41.5,0
Oklahoma,Bernie Sanders,51.9,1
Tennessee,Hillary Clinton,66.1,1
Tennessee,Bernie Sanders,32.5,0
Texas,Hillary Clinton,65.2,1
Texas,Bernie Sanders,33.2,0
Vermont,Hillary Clinton,13.6,0
Vermont,Bernie Sanders,85.7,1
Virginia,Hillary Clinton,64.3,1
Virginia,Bernie Sanders,35.2,0
Kansas,Hillary Clinton,32.3,0
Kansas,Bernie Sanders,67.7,1
Louisiana,Hillary Clinton,71.1,1
Louisiana,Bernie Sanders,23.2,0
Nebraska,Hillary Clinton,42.9,0
Nebraska,Bernie Sanders,57.1,1
Maine,Hillary Clinton,35.5,0
Maine,Bernie Sanders,64.3,1
Michigan,Hillary Clinton,48.3,0
Michigan,Bernie Sanders,49.7,1
Mississippi,Hillary Clinton,82.5,1
Mississippi,Bernie Sanders,16.6,0
Florida,Hillary Clinton,64.4,1
Florida,Bernie Sanders,33.3,0
Illinois,Hillary Clinton,50.6,1
Illinois,Bernie Sanders,48.6,0
Missouri,Hillary Clinton,49.6,1
Missouri,Bernie Sanders,49.4,0
North Carolina,Hillary Clinton,54.5,1
North Carolina,Bernie Sanders,40.9,0
Ohio,Hillary Clinton,56.1,1
Ohio,Bernie Sanders,43.1,0
Arizona,Hillary Clinton,56.3,1
Arizona,Bernie Sanders,41.4,0
Idaho,Hillary Clinton,21.5,0
Idaho,Bernie Sanders,78,1
Utah,Hillary Clinton,20.3,0
Utah,Bernie Sanders,79.3,1
Alaska,Hillary Clinton,20.2,0
Alaska,Bernie Sanders,79.6,1
Hawaii,Hillary Clinton,30,0
Hawaii,Bernie Sanders,69.8,1
Washington,Hillary Clinton,27.1,0
Washington,Bernie Sanders,72.7,1
Wisconsin,Hillary Clinton,43.1,0
Wisconsin,Bernie Sanders,56.6,1
Wyoming,Hillary Clinton,44.3,0
Wyoming,Bernie Sanders,55.7,1
New York,Hillary Clinton,57.5,1
New York,Bernie Sanders,41.6,0
Connecticut,Hillary Clinton,51.8,1
Connecticut,Bernie Sanders,46.4,0
Delaware,Hillary Clinton,59.8,1
Delaware,Bernie Sanders,39.2,0
Maryland,Hillary Clinton,62.5,1
Maryland,Bernie Sanders,33.8,0
Pennsylvania,Hillary Clinton,55.6,1
Pennsylvania,Bernie Sanders,43.5,0
Rhode Island,Hillary Clinton,43.1,0
Rhode Island,Bernie Sanders,54.7,1
Indiana,Hillary Clinton,47.5,0
Indiana,Bernie Sanders,52.5,1
West Virginia,Hillary Clinton,35.8,0
West Virginia,Bernie Sanders,51.4,1
Kentucky,Hillary Clinton,46.8,1
Kentucky,Bernie Sanders,46.3,0
Oregon,Hillary Clinton,42.1,0
Oregon,Bernie Sanders,56.2,1
Puerto Rico,Hillary Clinton,59.7,1
Puerto Rico,Bernie Sanders,37.9,0
California,Hillary Clinton,53.1,1
California,Bernie Sanders,46,0
Montana,Hillary Clinton,44.2,0
Montana,Bernie Sanders,51.6,1
New Jersey,Hillary Clinton,63.3,1
New Jersey,Bernie Sanders,36.7,0
New Mexico,Hillary Clinton,51.5,1
New Mexico,Bernie Sanders,48.5,0
North Dakota,Hillary Clinton,25.6,0
North Dakota,Bernie Sanders,64.2,1
South Dakota,Hillary Clinton,51,1
South Dakota,Bernie Sanders,49,0